OpticalGeneration(C1(optipin_des_3)) X,OpticalGeneration(C1(optipin_des_3)) Y
0,0
0.0018749993,0
0.001875,0
0.0037499992,0
0.0037499999,0
0.0056249993,0
0.0056250002,0
0.0074999989,0
0.0074999998,0
0.0093749994,0
0.0093750004,0
0.01125,0
0.01125,0
0.013124999,0
0.013125,0
0.014999999,3.6883e+23
0.015,3.6883014e+23
0.016875001,3.6883014e+23
0.018750001,3.6883014e+23
0.02,3.6883014e+23
0.02,3.6883014e+23
0.020625001,3.6883014e+23
0.022500001,3.6883014e+23
0.024374999,3.6883014e+23
0.026249999,3.6883014e+23
0.028124999,3.6883014e+23
0.029999999,3.6883014e+23
0.031874999,3.6883014e+23
0.033750001,3.6883014e+23
0.035625,3.6883014e+23
0.037500001,3.6883014e+23
0.039375,3.6883014e+23
0.039999999,3.6883014e+23
0.039999999,3.6883014e+23
0.041250002,3.6883014e+23
0.043125,3.6883014e+23
0.045000002,3.6883014e+23
0.046875,1.4844136e+17
0.048749998,0
0.050625,0
0.052499998,0
0.054375,0
0.056249999,0
0.058125,0
0.059999999,0

